     41 ات  السعوديه 
     19 ات  رومنسيه 
     14 ات  عاليه 
     10 ات  مشتهيه 
     10 ات  سكسيه 
      3 ات  مصريه 
      3 ات  الداخليه 
      2 ات  نفسيه 
      2 ات  ماسوشيه 
      2 ات  ساديه 
      2 ات  الثانويه 
      2 ات  اجتماعيه 
      1 ات  وتوريه 
      1 ات  كويتيه 
      1 ات  فرديه 
      1 ات  فتحيه 
      1 ات  عراقيه 
      1 ات  شيعيه 
      1 ات  سياحيه 
      1 ات  سعوديه 
      1 ات  ديمقراطيه 
      1 ات  حكوميه 
      1 ات  جمعيه 
      1 ات  ‏تانيه 
      1 ات  بويه 
      1 ات  ايه 
      1 ات  الهلاليه 
      1 ات  المنوفيه 
      1 ات  المصريه 
      1 ات  المروحيه 
      1 ات  الكليه 
      1 ات  الزوجيه 
      1 ات  الرئاسيه 
      1 ات  الحوثيه 
      1 ات  الجنسيه 
      1 ات  البحرينيه 
      1 ات  اسرائيليه 
